path,current_bytes,current_sha256,method,limits_and_result,findings
.gitattributes,164,05b777ed91bb1104a6b2ece4c04da8c15764d34af2192fb232f8ff61ab1ff423,"Текстовый просмотр/поиск, SHA-256",Область проверки указана в отчёте,
.gitignore,244,c96c4b0fafe562811c531f447ae1267b73d97592fb7925b8029d7c8e6a432f49,"Текстовый просмотр/поиск, SHA-256",Область проверки указана в отчёте,
README.md,4269,694cdac9c3885da96145ae93c0f53e13f353f0edc6c0908db42188506567078e,"Текстовый просмотр/поиск, SHA-256",Область проверки указана в отчёте,
app/.gitignore,6,5c3174b74edc6f2b9e0743594b8bd3c7f31e4f4405758cc9872b3fe1de1d28b4,"Текстовый просмотр/поиск, SHA-256",Область проверки указана в отчёте,
app/build.gradle.kts,6646,f1960cee72cb708da0dfb2b128b543c199e6cb3bb7b88def7b402287a9308a38,"Текстовый просмотр/поиск, SHA-256",Область проверки указана в отчёте,
app/proguard-rules.pro,898,9dfd0b5c3173b7938b1ecff2edd80fa1576a20acb6152069c7fd5075c0fb33f8,"Текстовый просмотр/поиск, SHA-256",Область проверки указана в отчёте,
app/src/androidTest/java/com/cryonum/ContentDownloadUiTests.kt,3369,ef3f11ae19465b4641161f9de0770109e8036340f2fa2de961d46b419b1ee3ef,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/androidTest/java/com/cryonum/ExampleInstrumentedTest.kt,663,34f2e75bf66ee6602a926692c94e1bdba261f0542f97fedd0503e0bedb299b2f,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/androidTest/java/com/cryonum/SecurityAuditTests.kt,1617,880aba1008574ad063d17971c9e5bf3a06a3611eed359156755e1869772f66d6,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/androidTest/java/com/cryonum/SettingsInstrumentedTests.kt,1417,1ea608fbb70608262113a964271a5f2cee491141e98d253725c2b42ce116e66f,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/AndroidManifest.xml,5224,6d9e54e897b4dc92377aecb77ef3679fc2b8aa3f1de4559d6fb18ad8459ba9b9,"XML parser, поиск атрибутов и ссылок",XML корректен; внешний вид/TalkBack не проверены,
